bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
996383,656298,2017-06-01,Senate,"Accept Maj Ontp Rpt RC #207",29,5,0,1,35
996402,673428,2017-08-02,House,"Reconsideration - Veto RC #448",110,27,0,14,151
996402,673429,2017-08-02,Senate,"Reconsideration - Veto RC #434",32,0,0,3,35
996412,664619,2017-06-13,Senate,"Accept Min Ontp Rpt RC #298",13,22,0,0,35
996412,667991,2017-06-22,Senate,"Recede And Concur RC #373",19,16,0,0,35
996421,731040,2018-03-27,House,"Acc Maj Ought Not To Pass Rep RC #534",78,69,0,4,151
996440,656854,2017-06-01,House,"Acc Min Ought Not To Pass Rep RC #209",72,70,0,9,151
996440,658916,2017-06-06,House,"Recede And Concur RC #234",71,73,0,7,151
996448,769830,2018-07-09,House,"Reconsideration - Veto RC #704",142,2,0,7,151
996448,769831,2018-07-09,Senate,"Reconsideration - Veto RC #723",33,0,0,2,35
996481,661282,2017-06-08,Senate,"Accept Maj Ontp Rpt RC #256",32,1,0,2,35
996490,658913,2017-06-05,Senate,"Accept Rpt 'c' Ontp RC #217",13,19,0,3,35
996503,656849,2017-05-30,House,"Acc Maj Otp As Amended Rep RC #170",112,27,0,12,151
996503,672986,2017-07-20,House,"Reconsideration - Veto RC #427",109,32,0,10,151
996503,672987,2017-07-20,Senate,"Reconsideration - Veto RC #409",28,2,0,5,35
996522,668811,2017-06-27,House,"Reconsideration - Veto RC #396",139,5,0,7,151
996522,668812,2017-06-27,Senate,"Reconsideration - Veto RC #382",34,0,0,1,35
996533,658826,2017-06-05,House,"Acc Maj Otp As Amended Rep RC #216",80,66,0,5,151
996533,658827,2017-06-06,Senate,"Accept Min Ontp Rpt RC #222",18,17,0,0,35
996534,658817,2017-06-06,Senate,"Accept Min Ontp Rpt RC #225",20,15,0,0,35
996582,724230,2018-03-15,Senate,"Accept Maj Otp-a Rpt RC #531",32,0,0,3,35
996606,648947,2017-05-24,Senate,"Accept Min Ontp Rpt RC #172",20,15,0,0,35
996697,661264,2017-06-08,Senate,"Accept Maj Ontp Rpt RC #259",28,6,0,1,35
996697,661265,2017-06-08,House,"Acc Maj Ought Not To Pass Rep RC #282",84,60,0,7,151
996747,672997,2017-07-20,Senate,"Accept Rpt 'a' Otp-a RC #408",16,14,0,5,35
996747,672998,2017-07-20,House,"Acc Report 'a' Otp As Amend RC #437",74,58,0,19,151
